policy,arm_group,avg_pulls,std_pulls
Uniform,best,9.98,2.857201427971084
Uniform,distractors,9.991777777777777,0.9543566380513065
Uniform,noise,10.001044444444444,0.09927711807279384
Thompson Sampling,best,69.075,46.30122433586395
Thompson Sampling,distractors,43.70877777777778,5.882114928921148
Thompson Sampling,noise,5.972733333333333,0.39949070725760966
A1 (Standard),best,53.346,29.529312284575813
A1 (Standard),distractors,37.66566666666667,4.229857013898306
A1 (Standard),noise,6.751811111111112,0.32625587001010325
A1 (Optimal),best,45.605,21.17094648332946
A1 (Optimal),distractors,35.714555555555556,3.4420157010710675
A1 (Optimal),noise,7.032933333333333,0.29171495981141893
TopTwoTS (Standard),best,66.28,45.008683606610845
TopTwoTS (Standard),distractors,43.47333333333333,5.595514517544332
TopTwoTS (Standard),noise,6.027333333333333,0.3898667705324886
TopTwoTS (Optimal),best,65.883,42.67098910266787
TopTwoTS (Optimal),distractors,43.48911111111111,5.416616405464819
TopTwoTS (Optimal),noise,6.030166666666667,0.3904153810406122
