policy,arm_group,avg_pulls,std_pulls
Uniform,best,9.996,2.893783682309374
Uniform,distractors,9.994388888888889,0.953343367921807
Uniform,noise,10.000605555555556,0.0990619769527023
Thompson Sampling,best,70.247,47.2217957197733
Thompson Sampling,distractors,43.585,5.883803648182897
Thompson Sampling,noise,5.972088888888889,0.39853169646393216
A1 (Standard),best,52.2515,28.790610409472045
A1 (Standard),distractors,37.71044444444444,4.123337321474763
A1 (Standard),noise,6.759494444444446,0.3253613052922573
A1 (SqrtK),best,45.645,21.045165121709072
A1 (SqrtK),distractors,35.63038888888889,3.477170514518527
A1 (SqrtK),noise,7.040905555555556,0.29664691106714564
TopTwoTS (Standard),best,67.084,44.51451385784191
TopTwoTS (Standard),distractors,43.34605555555555,5.644940255728199
TopTwoTS (Standard),noise,6.031127777777778,0.3945400663047456
TopTwoTS (SqrtK),best,65.951,42.29980613430752
TopTwoTS (SqrtK),distractors,43.43422222222222,5.466181703872739
TopTwoTS (SqrtK),noise,6.0349,0.39147696256896425
